Time, Temperature, Frequency, Magnitude
1, 20.53, 0.02, 1.08
2, 20.53, 0.03, 0.76
3, 20.51, 0.05, 0.53
4, 20.51, 0.07, 0.73
5, 20.56, 0.08, 0.60
6, 20.48, 0.10, 0.52
7, 20.51, 0.12, 0.34
8, 20.51, 0.13, 0.46
9, 20.51, 0.15, 0.50
10, 20.53, 0.17, 0.36
11, 20.69, 0.18, 0.69
12, 20.61, 0.20, 0.65
13, 20.51, 0.22, 0.43
14, 20.51, 0.23, 0.15
15, 20.51, 0.25, 0.23
16, 20.51, 0.27, 0.24
17, 20.64, 0.28, 0.11
18, 20.66, 0.30, 0.36
19, 20.48, 0.32, 0.87
20, 20.53, 0.33, 0.53
21, 20.69, 0.35, 0.24
22, 20.58, 0.37, 0.56
23, 20.61, 0.38, 0.22
24, 20.61, 0.40, 0.25
25, 20.53, 0.42, 0.22
26, 20.69, 0.43, 0.29
27, 20.66, 0.45, 0.18
28, 20.61, 0.47, 0.40
29, 20.51, 0.48, 0.11
30, 20.51, 0.50, 0.05
31, 20.48, 0.52, 0.11
32, 20.53, 0.53, 0.40
33, 20.51, 0.55, 0.18
34, 20.51, 0.57, 0.29
35, 20.51, 0.58, 0.22
36, 20.53, 0.60, 0.25
37, 20.61, 0.62, 0.22
38, 20.53, 0.63, 0.56
39, 20.56, 0.65, 0.24
40, 20.48, 0.67, 0.53
41, 20.48, 0.68, 0.87
42, 20.51, 0.70, 0.36
43, 20.48, 0.72, 0.11
44, 20.48, 0.73, 0.24
45, 20.51, 0.75, 0.23
46, 20.48, 0.77, 0.15
47, 20.51, 0.78, 0.43
48, 20.48, 0.80, 0.66
49, 20.48, 0.82, 0.69
50, 20.51, 0.83, 0.36
51, 20.48, 0.85, 0.50
52, 20.48, 0.87, 0.46
53, 20.51, 0.88, 0.34
54, 20.51, 0.90, 0.52
55, 20.53, 0.92, 0.60
56, 20.64, 0.93, 0.73
57, 20.51, 0.95, 0.53
58, 20.66, 0.97, 0.76
59, 20.66, 0.98, 1.08
